FECHA,HORA,CHO,CUT,FAC,LAA,MER,MON,MPA,PED,SAG,SFE,TLA
01/01/2019,1,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,2,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,3,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,4,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,5,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,6,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,7,0.003,0,0,0,-99,0,-99,0.004,0,0,-99
01/01/2019,8,0.147,0.097,0.121,0.11,-99,0.122,-99,0.164,0.114,0.156,-99
01/01/2019,9,0.749,0.586,0.706,0.606,-99,0.586,-99,0.785,0.589,0.899,-99
01/01/2019,10,1.625,1.413,1.641,1.447,-99,1.335,-99,1.735,1.297,1.892,-99
01/01/2019,11,2.356,2.499,2.57,2.375,-99,2.393,-99,2.535,2.266,2.818,-99
01/01/2019,12,2.961,3.021,3.123,2.921,-99,3.073,-99,2.956,2.879,3.449,-99
01/01/2019,13,3.519,3.621,3.294,3.295,-99,3.466,-99,2.84,3.536,3.647,-99
01/01/2019,14,3.405,3.593,3.096,3.097,-99,3.25,-99,3.112,3.212,3.079,-99
01/01/2019,15,2.864,2.611,2.317,2.41,-99,2.888,-99,2.383,2.56,2.417,-99
01/01/2019,16,1.897,2.257,1.536,1.504,-99,1.679,-99,1.791,1.547,1.683,-99
01/01/2019,17,1.228,1.279,0.895,0.909,-99,1.355,-99,0.986,1.216,0.92,-99
01/01/2019,18,0.315,0.35,0.312,0.32,-99,0.405,-99,0.412,0.371,0.375,-99
01/01/2019,19,0.024,0.016,0.021,0.02,-99,0.023,-99,0.019,0.016,0.023,-99
01/01/2019,20,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,21,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,22,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,23,0,0,0,0,-99,0,-99,0,0,0,-99
01/01/2019,24,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,1,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,2,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,3,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,4,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,5,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,6,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,7,0.002,0.001,0,0.001,-99,0.001,-99,0.001,0,0,-99
02/01/2019,8,0.145,0.057,0.129,0.111,-99,0.109,-99,0.164,0.08,0.153,-99
02/01/2019,9,0.739,0.373,0.748,0.554,-99,0.63,-99,0.775,0.353,0.906,-99
02/01/2019,10,1.63,1.698,1.62,1.411,-99,1.68,-99,1.715,0.848,1.913,-99
02/01/2019,11,2.423,2.457,2.469,2.643,-99,2.867,-99,2.535,2.534,2.661,-99
02/01/2019,12,3.063,3.151,2.743,3.001,-99,3.21,-99,2.842,3.215,2.795,-99
02/01/2019,13,3.082,2.613,2.619,2.358,-99,2.701,-99,1.984,2.561,1.989,-99
02/01/2019,14,2.682,2.223,2.626,2.615,-99,2.569,-99,2.301,2.388,2.326,-99
02/01/2019,15,2.252,2.529,1.84,2.005,-99,2.384,-99,1.706,2.355,1.696,-99
02/01/2019,16,1.193,1.636,1.132,1.159,-99,1.744,-99,1.648,1.435,1.693,-99
02/01/2019,17,0.748,0.901,0.911,0.868,-99,0.964,-99,1.172,0.987,1.08,-99
02/01/2019,18,0.318,0.305,0.407,0.406,-99,0.486,-99,0.451,0.426,0.482,-99
02/01/2019,19,0.009,0.02,0.023,0.021,-99,0.024,-99,0.017,0.019,0.028,-99
02/01/2019,20,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,21,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,22,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,23,0,0,0,0,-99,0,-99,0,0,0,-99
02/01/2019,24,0,0,0,0,-99,0,-99,0,0,0,-99
03/01/2019,1,0,0,0,0,-99,0,-99,0,0,0,-99
03/01/2019,2,0,0,0,0,-99,0,-99,0,0,0,-99
03/01/2019,3,0,0,0,0,-99,0,-99,0,0,0,-99
03/01/2019,4,0,0,0,0,-99,0,-99,0,0,0,-99
03/01/2019,5,0,0,0,0,-99,0,-99,0,0,0,-99
03/01/2019,6,0,0,0,0,-99,0,-99,0,0,0,-99
03/01/2019,7,0.002,0,0,0,-99,0,-99,0.003,0,0,-99
