Date,Precipitation,TempAvg,TempMin,TempMax,Bici,Edad_Usuario,n_CO,n_UVA,n_UVB
2019-01-01,0.0,62,47,76,3754,36.0713905167821,11.784374999999999,16.585818181818183,16.585818181818183
2019-01-02,0.0,62,45,77,27593,35.401442394810275,11.440624999999999,20.34527272727273,20.34527272727273
2019-01-03,,60,,,29889,35.09240857840677,11.040624999999999,22.18409090909091,22.18409090909091
2019-01-04,0.0,65,45,74,31542,35.12976348994991,4.790625,20.409,20.409
2019-01-05,0.0,66,45,75,12121,34.99579242636746,5.312499999999999,20.00809090909091,20.00809090909091
2019-01-06,0.0,64,47,76,11501,35.388922702373705,3.234375,17.36727272727273,17.36727272727273
2019-01-07,0.0,66,49,76,27540,35.00261437908497,4.5874999999999995,14.126636363636367,14.126636363636367
2019-01-08,0.0,61,45,74,29370,35.10909090909091,4.521874999999999,27.362818181818184,27.362818181818184
2019-01-09,0.0,60,45,75,11767,34.9956658451602,2.7125000000000004,28.27218181818182,28.27218181818182
2019-01-10,0.0,58,43,70,,,6.218749999999999,17.588454545454542,17.588454545454542
2019-01-11,0.0,64,,,,,5.406249999999999,17.65531818181818,17.65531818181818
2019-01-12,0.0,61,48,75,,,7.259375000000001,17.687727272727273,17.687727272727273
2019-01-13,,58,,,10209,35.53492016847879,3.7562499999999996,12.127909090909089,12.127909090909089
2019-01-14,0.01,57,41,66,28746,35.20907256661796,5.778125,13.876272727272728,13.876272727272728
2019-01-15,0.09,59,45,69,29687,35.222050055579885,9.740625000000003,15.344909090909091,15.344909090909091
2019-01-16,0.0,61,45,70,30089,35.188440958489814,9.200000000000003,14.730727272727274,14.730727272727274
2019-01-17,0.0,63,50,71,29077,35.09522990679919,10.2375,12.701454545454546,12.701454545454546
2019-01-18,,63,,,28047,35.36331871501408,9.103125000000002,14.42027272727273,14.42027272727273
2019-01-19,0.0,62,49,76,12239,35.109731187188494,8.434375000000001,15.607545454545454,15.607545454545454
2019-01-20,0.0,56,47,71,10996,35.38604947253547,6.343750000000001,18.216727272727272,18.216727272727272
2019-01-21,0.0,65,44,73,28815,35.00617733819191,13.740624999999998,17.792454545454547,17.792454545454547
2019-01-22,0.0,61,44,77,30199,35.092718301930525,11.928124999999996,17.96218181818182,17.96218181818182
2019-01-23,0.0,66,44,78,29508,35.17310559848177,10.724999999999998,17.823363636363638,17.823363636363638
2019-01-24,0.0,63,49,78,26702,35.167590442663474,10.978125,18.113363636363637,18.113363636363637
2019-01-25,0.0,69,49,79,27718,35.12760660942348,9.775,17.16218181818182,17.16218181818182
2019-01-26,0.0,63,49,80,12547,35.43141786881326,8.371875,18.809454545454546,18.809454545454546
2019-01-27,0.0,62,49,77,10964,35.46424662531923,5.406250000000001,19.601454545454548,19.601454545454548
2019-01-28,0.0,58,,,29123,35.13439549496961,10.146875000000001,18.51381818181818,18.51381818181818
2019-01-29,0.0,61,44,76,30438,35.15290097903936,11.412500000000001,17.369545454545456,17.369545454545456
2019-01-30,0.0,58,46,75,29875,35.1902259414226,7.543749999999998,21.852727272727268,21.852727272727268
2019-01-31,,,,,29627,35.18908428122996,9.45625,21.36945454545454,21.36945454545454
2019-02-01,0.0,61,45,75,17252,35.17261766751681,11.146874999999998,14.609909090909092,14.609909090909092
2019-02-02,0.0,64,46,76,11465,35.618665503706936,11.884375000000002,19.93972727272727,19.93972727272727
2019-02-03,0.0,64,,,13260,35.02873303167421,7.19375,21.632,21.632
2019-02-04,0.0,66,,,33571,35.064698698281255,7.128124999999997,19.145545454545456,19.145545454545456
2019-02-05,0.0,65,51,81,29602,35.154550368218366,5.440624999999998,21.043363636363637,21.043363636363637
2019-02-06,0.0,71,,,11080,35.28574007220217,2.484375,13.57027272727273,13.57027272727273
2019-02-07,0.0,67,53,83,27508,35.004107895884836,6.134375,15.101909090909091,15.101909090909091
2019-02-08,0.0,66,51,82,27295,35.23989741710936,5.359374999999999,24.941363636363633,24.941363636363633
2019-02-09,0.0,59,,,30913,35.01378061009931,3.281249999999999,25.14145454545455,25.14145454545455
2019-02-10,0.0,62,,,,,5.146874999999999,20.172272727272727,20.172272727272727
2019-02-11,0.0,64,49,78,,,5.6468750000000005,9.743363636363638,9.743363636363638
2019-02-12,0.0,66,53,79,,,6.193750000000001,14.508636363636363,14.508636363636363
2019-02-13,0.0,59,48,71,27016,35.173896949955584,7.621874999999999,16.944090909090907,16.944090909090907
2019-02-14,,64,,,30638,35.00541810823161,11.146875,21.10727272727273,21.10727272727273
2019-02-15,0.02,69,51,80,29950,35.2864774624374,11.390625,23.285545454545456,23.285545454545456
2019-02-16,0.0,74,,,12886,35.03367996275027,9.137499999999998,23.127818181818185,23.127818181818185
2019-02-17,0.0,71,55,86,11430,35.389238845144355,6.7718750000000005,24.728545454545454,24.728545454545454
2019-02-18,0.0,75,55,87,30746,34.95033500292721,8.818749999999998,25.506181818181815,25.506181818181815
2019-02-19,0.0,69,54,87,32356,35.021912473729756,7.999999999999998,25.889,25.889
2019-02-20,0.0,70,51,82,31943,34.93425789687882,9.181249999999999,25.915045454545453,25.915045454545453
2019-02-21,0.0,67,51,82,31487,35.09683361387239,5.978125,25.90563636363636,25.90563636363636
2019-02-22,,69,,,30348,35.12656517727692,9.221875,21.354181818181814,21.354181818181814
2019-02-23,0.0,67,52,81,14868,34.6968657519505,8.003125,20.93013636363636,20.93013636363636
2019-02-24,0.0,66,54,79,11399,35.368014738134924,4.5531250000000005,19.079363636363638,19.079363636363638
2019-02-25,0.0,61,53,77,28366,34.919974617499825,9.73125,19.327545454545458,19.327545454545458
2019-02-26,,67,,,32623,35.07010391441621,10.01875,24.02209090909091,24.02209090909091
2019-02-27,0.0,65,51,79,32420,35.04185687847008,8.6375,26.016,26.016
2019-02-28,0.0,72,53,82,32139,35.14820000622297,10.384375,25.179090909090906,25.179090909090906
2019-03-01,0.0,71,54,84,19927,34.91192853916796,14.840624999999998,15.128863636363638,15.128863636363638
2019-03-02,0.0,72,55,84,9290,36.10086114101184,9.853125000000002,20.79222727272727,20.79222727272727
2019-03-03,0.0,71,57,85,11810,35.103217612193056,7.6781250000000005,21.870454545454546,21.870454545454546
2019-03-04,0.0,74,56,87,32716,35.053276684191225,6.284374999999999,20.83890909090909,20.83890909090909
2019-03-05,0.0,66,55,85,28499,35.26765851433384,8.281250000000002,15.585272727272729,15.585272727272729
2019-03-06,,67,,,31478,35.01032467119893,3.771875,11.669272727272727,11.669272727272727
2019-03-07,0.0,69,,,30354,35.131053567898796,5.493750000000001,16.002727272727274,16.002727272727274
2019-03-08,0.0,73,55,85,12440,35.29782958199357,4.437500000000001,28.189454545454545,28.189454545454545
2019-03-09,0.0,72,56,83,31654,35.04075314336261,2.8359375,23.822181818181818,23.822181818181818
2019-03-10,,,,,,,5.012500000000001,17.816363636363636,17.816363636363636
2019-03-11,0.0,73,59,89,,,3.7468749999999997,14.674454545454546,14.674454545454546
2019-03-12,0.0,79,,,,,8.456249999999999,16.92,16.92
2019-03-13,0.0,74,55,87,32427,35.04187868134579,8.337499999999999,22.873545454545454,22.873545454545454
2019-03-14,0.0,75,55,86,32199,35.166557967638745,8.121875000000001,20.803545454545453,20.803545454545453
2019-03-15,0.0,72,55,86,29926,35.26234712290316,6.487500000000001,19.547090909090908,19.547090909090908
2019-03-16,0.0,67,51,83,11950,35.25112970711297,7.2406250000000005,18.03090909090909,18.03090909090909
2019-03-17,0.0,64,51,78,9742,35.37682200780127,7.74375,16.489181818181816,16.489181818181816
2019-03-18,0.0,69,53,78,10388,35.13217173661918,4.83125,20.371181818181817,20.371181818181817
2019-03-19,0.02,68,48,78,30192,34.98767885532592,6.3687499999999995,22.939090909090908,22.939090909090908
2019-03-20,0.0,69,48,78,32133,35.02884884697974,5.378125000000001,23.59254545454546,23.59254545454546
2019-03-21,0.0,64,49,80,31029,35.09977762738084,6.259374999999999,20.465363636363637,20.465363636363637
2019-03-22,,66,51,74,29687,35.21066460066696,7.903124999999999,20.31190909090909,20.31190909090909
2019-03-23,0.0,65,51,78,13346,35.17263599580399,6.534375000000001,22.886545454545455,22.886545454545455
2019-03-24,0.0,70,52,80,11520,35.45677083333333,5.60625,24.766727272727277,24.766727272727277
2019-03-25,0.0,67,52,81,30774,35.051991941249106,6.449999999999999,25.621545454545448,25.621545454545448
2019-03-26,0.0,69,47,82,32346,35.083843442775,5.362500000000001,26.221818181818183,26.221818181818183
2019-03-27,0.0,63,47,80,32576,35.08128683693517,5.71875,26.114272727272727,26.114272727272727
2019-03-28,,68,,,31992,35.15991497874469,7.246875000000001,26.143363636363635,26.143363636363635
